,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Volume Design,Volume Current,Percent Available,Years to Fill
2437,Franklin,VA,-79.8626,36.927,2036.0,Open,95.0,24.0,,,2411119.0,1796834.0,55875.0,,,,10.993914988814318
2438,Frederick,VA,-78.0988,39.1416,2045.0,Open,148.0,20.0,,,11322675.0,5062725.0,131442.0,,,,47.625188295978454
2440,Greensville,VA,-77.6,36.745,,Open,,,,,600000.0,169664.0,25374.0,,,,16.95972255064239
2445,King and Queen,VA,-76.77,37.665,2044.0,Open,269.0,160.0,,,62110631.0,21559888.0,821972.0,,,,49.333484595582334
2446,King George,VA,-77.30596,38.26964,2043.0,Open,,204.8,375.0,,55916748.0,34265014.0,1594445.0,,,,13.579480007149824
2447,Spotsylvania,VA,-77.706,38.128,2044.0,Open,,42.8,130.0,85.0,6445553.0,2410421.0,162911.0,,3637.9999999999995,,24.768935185469367
2448,Loudoun,VA,-77.5813,39.0421,2057.0,Open,88.0,77.9,,,9555176.0,3542376.0,172045.0,,,,34.94899590223488
2449,Louisa,VA,-77.883777,37.989204,2048.0,Open,,,,,,,19646.0,,,,
2450,Lunenburg,VA,-78.243,36.924,2026.0,Open,,54.0,,,3739625.0,1709821.0,291669.0,,,,6.959272325821393
2453,Amelia,VA,-78.0634,37.307,2092.0,Open,404.0,113.0,,,40655766.0,13370668.0,973587.0,,,,28.025331069539753
2458,Gloucester,VA,-76.6201,37.5202,2068.0,Open,,102.3,,,38112240.0,12798269.0,502238.0,,,,50.40234112114177
2459,Pulaski,VA,-80.685,37.1975,2045.0,Open,350.0,37.0,100.0,,8423100.0,4005721.0,241696.0,35000.0,,,18.276591255130413
2462,Nottoway,VA,-78.018805,37.113699,2027.0,Open,,,,,,,19253.0,,,,
2463,Henrico,VA,-77.376,37.508,2037.0,Open,,114.2,,,34741581.0,22111736.0,666286.0,,,,18.955591142542392
2464,Orange,VA,-78.033871,38.245727,2050.0,Open,43.0,,,,1186928.0,1122668.0,27859.0,,,,2.3066154564054706
2466,Alleghany,VA,-80.0725,37.772,2052.0,Open,,,,,555106.0,67033.0,12851.0,,,,37.97937903665085
2467,Pittsylvania,VA,-79.4135,36.767,2029.0,Open,80.6,26.8,,,1878496.0,382496.0,42926.0,,,,34.85067325164236
2468,Prince Edward,VA,-78.488,37.285,,Open,,100.0,,40.0,902797.0,403085.0,28049.0,,4000.0,,17.815679703376233
2469,Prince William,VA,-77.422,38.638,2036.0,Open,388.0,126.3,200.0,170.0,16641758.0,12014469.0,368505.0,77600.0,21471.0,0.723311855670103,12.556923243917993
2470,Campbell,VA,-79.152,37.278,2032.0,Open,55.0,28.4,,,4725359.0,2551448.0,204263.0,,,,10.642705727420042
2473,Rockbridge,VA,-79.35802,37.76936,2056.0,Open,30.0,10.0,,,4020812.0,1523153.0,38381.0,,,,65.07540189156093
2474,Rockingham,VA,-78.8811,38.399,2056.0,Open,,54.6,,75.0,9327150.0,4010733.0,157546.0,,4095.0,,33.7451728384091
2476,Shenandoah,VA,-78.5508,38.8433,2048.0,Open,,43.0,,100.0,3470810.0,1423192.0,45051.0,,4300.0,,45.451110963130674
2477,Chesterfield,VA,-77.4956,37.3512,2070.0,Open,374.0,164.0,,,36774851.0,27975091.0,895911.0,,,,9.822136350597326
2478,Roanoke,VA,-80.214,37.29,2036.0,Open,94.3,58.1,,100.0,8399842.0,4487323.0,237318.0,,5810.0,,16.486397997623442
2481,Suffolk city,VA,-76.522,36.759,2097.0,Open,185.0,,173.0,162.0,25522875.0,17627853.0,444357.0,32005.0,,,17.76729521533362
2482,Mecklenburg,VA,-78.44,36.725,2091.0,Open,,19.6,,,5379461.0,976708.0,83599.0,,,,52.665139535161906
2483,Stafford,VA,-77.4125,38.385,2041.0,Open,29.0,29.0,136.0,110.0,9602775.0,4345450.0,236021.0,3944.0,3190.0,0.19117647058823528,22.274818766126742
2484,Tazewell,VA,-81.444,37.185,2023.0,Open,,23.5,100.0,80.0,2296714.0,1559427.0,79014.0,,1880.0,,9.331093223985622
2486,Virginia Beach city,VA,-76.205,36.785,2039.0,Open,232.0,119.0,100.0,,12166676.0,7500000.0,286000.0,23200.0,,,16.31704895104895
2488,St. Croix,VI,-64.778,17.706,,Open,,35.0,,81.0,2200000.0,2200000.0,100000.0,,2835.0,,0.0
2495,Orleans,VT,-72.2215,44.908583,2042.0,Open,60.0,59.1,100.0,85.0,20371683.0,9716790.0,522012.0,6000.0,5023.5,0.16274999999999995,20.411203190731246
2500,Asotin,WA,-117.1097,46.38551,,Open,,12.0,,80.0,,848342.0,38561.0,,960.0,,
2501,Adams,WA,-118.3969,47.1346,,Open,,,,,,220609.0,11611.0,,,,
2504,King,WA,-122.06,47.442,2046.0,Open,920.0,430.9,200.0,200.0,66150000.0,43806272.0,877018.0,184000.0,86180.0,0.5316304347826086,25.476932058407012
2507,Yakima,WA,-120.268898,46.478451,2040.0,Open,,40.0,,,8202600.0,2249539.0,99747.0,,,,59.681604459281985
2508,Cowlitz,WA,-122.778109,46.248725,2120.0,Open,308.0,,,,53367110.0,10398414.0,707006.0,,,,60.77557474759762
2512,Grant,WA,-119.574,47.27,2034.0,Open,26.0,,,,4710806.0,2787559.0,126674.0,,,,15.182649951844894
2515,Douglas,WA,-120.1704,47.4042,2113.0,Open,148.4,56.4,,,37378587.0,6644627.0,287069.0,,,,107.06122918183434
2520,Benton,WA,-119.346,46.346,2095.0,Open,46.0,,,,10864122.0,2597697.0,74475.0,,,,110.99597180261833
2523,Pierce,WA,-122.2905,46.971,2032.0,Open,168.0,88.8,,,32251058.0,21588591.0,1288033.0,,,,8.278100794001396
2531,Okanogan,WA,-119.621,48.34,,Open,,,,,,700.0,175.0,,,,
2540,Klickitat,WA,-120.174,45.805,2085.0,Open,915.0,360.0,180.0,150.0,218761119.0,62944152.0,2393081.0,164700.0,54000.0,0.6721311475409837,65.11144712611065
2541,Kittitas,WA,-120.213,46.965,,Open,,,,,,464000.0,14500.0,,,,
2545,Stevens,WA,-118.084789,48.580245,2058.0,Open,,,,,2403450.0,717814.0,,,,,
2546,Walla Walla,WA,-118.41,46.075,,Open,,,,,2425098.0,2354940.0,60638.0,,,,1.1569972624426927
2548,Yakima,WA,-120.4052,46.60617,2030.0,Open,,110.0,,,7171348.0,6966909.0,194704.0,,,,1.049998972799737
2553,Adams,WI,-89.84648,44.02489,2041.0,Open,,,,,420000.0,280556.0,14409.0,,,,9.677562634464572
2556,Wood,WI,-89.85482,44.40918,2029.0,Open,110.7,68.0,,75.0,14171801.0,8635063.0,198880.0,,5100.0,,27.83959171359614
2558,Dane,WI,-89.254,43.045,2030.0,Open,76.0,76.0,90.0,70.0,7236832.0,6453440.0,273471.0,6840.0,5320.0,0.2222222222222222,2.864625499595935
2559,Jefferson,WI,-88.7566,43.0869,2034.0,Open,,86.0,,,11372426.0,8136919.0,269358.0,,,,12.011920937933903
2562,Waukesha,WI,-88.0745,42.851,2035.0,Open,,80.8,,75.0,23508546.0,16573631.0,373703.0,,6060.0,,18.557290147523567
2563,Dodge,WI,-88.555,43.465,2028.0,Open,127.0,125.9,,80.0,20676179.0,15883452.0,537270.0,,10072.0,,8.920518547471476
2566,Calumet,WI,-88.192,44.105,2029.0,Open,,57.0,,,21088169.0,14170182.0,426164.0,,,,16.233156719009582
2567,Vilas,WI,-89.415766,45.968199,,Open,,,,,,,24876.0,,,,
2570,Rock,WI,-89.0218,42.7046,2036.0,Open,,70.2,95.0,80.0,10181384.0,5431293.0,190533.0,,5616.0,,24.930542215784143
2571,Racine,WI,-87.8703,42.7074,2023.0,Open,,117.1,,,19515458.0,14470831.0,173105.0,,,,29.142006296756303
2573,La Crosse,WI,-91.157,43.878,2055.0,Open,51.0,26.0,100.0,50.0,4697532.0,2119995.0,59847.0,5100.0,1300.0,0.7450980392156863,43.06877537721189
2574,Washburn,WI,-91.831,45.689,2040.0,Open,,75.6,,,12433030.0,7254343.0,240485.0,,,,21.534345177453897
2575,Lincoln,WI,-89.6058,45.2852,2024.0,Open,,,,,495000.0,307370.0,41781.0,,,,4.49079725233958
2576,Walworth,WI,-88.7218,42.64412,2028.0,Open,140.0,112.0,,160.0,16253782.0,11691786.0,221247.0,,17920.0,,20.619470546493286
2577,Marathon,WI,-89.384867,44.890439,2026.0,Open,,35.0,67.0,39.0,6578926.0,5566679.0,243595.0,,1365.0,,4.155450645538702
2578,Marinette,WI,-88.0897,45.24771,2023.0,Open,,,,,888000.0,420130.0,17872.0,,,,26.178939122649954
2580,Milwaukee,WI,-88.065,42.84951,2032.0,Open,,155.0,110.0,,36432221.0,26961850.0,726096.0,,,,13.042863478107577
2582,Douglas,WI,-91.9665,46.671,2026.0,Open,,31.1,,,,2828889.0,126600.0,,,,
2585,Waukesha,WI,-88.0765,43.188,2027.0,Open,342.0,324.0,,95.0,,37590056.0,869059.0,,30780.0,,
2586,Outagamie,WI,-88.3487,44.2872,2023.0,Open,460.0,130.4,65.0,,,13681535.0,773008.0,29900.0,,,
2587,Kenosha,WI,-88.04383,42.58275,2065.0,Open,182.0,181.7,80.0,,30815795.0,22910047.0,207604.0,14560.0,,,38.08090402882411
2592,Manitowoc,WI,-87.8418,44.1725,2039.0,Open,146.0,104.8,,88.0,22429043.0,15013659.0,418652.0,,9222.4,,17.712524961065515
2594,Monroe,WI,-90.578,43.873,,Open,,5.0,,75.0,570600.0,244351.0,40206.0,,375.0,,8.114435656369697
2598,Eau Claire,WI,-91.3672,44.8375,2029.0,Open,80.0,55.0,,,17078157.0,10863408.0,324347.0,,,,19.160803090517255
2600,Rusk,WI,-91.35838,45.45417,2035.0,Open,,44.0,,,8675685.0,4610743.0,106967.0,,,,38.00183234081539
2603,Green Lake,WI,-88.90632,43.95983,2040.0,Open,,97.5,80.0,,15920266.0,11729510.0,239741.0,,,,17.480347541722107
2605,Vernon,WI,-90.839915,43.59791,,Open,,,,,,,11893.0,,,,
2610,Brooke,WV,-80.57751,40.38123,2056.0,Open,180.0,,150.0,150.0,16758000.0,3199244.0,78772.0,27000.0,,,172.12659320570762
2611,Kanawha,WV,-81.61854,38.31279,2027.0,Open,,80.8,,,6587686.0,5539030.0,195001.0,,,,5.377695498997441
2612,McDowell,WV,-81.6,37.48,2110.0,Open,,,,,,,26496.0,,,,
2613,Putnam,WV,-82.019,38.405,2044.0,Open,84.7,42.2,,,8958480.0,4160764.0,96253.0,,,,49.8448463943981
2614,Randolph,WV,-79.98655,38.929,2056.0,Open,10.0,8.0,,,,,11088.0,,,,
2615,Greenbrier,WV,-80.3793,37.8276,2041.0,Open,,140.0,100.0,100.0,4000000.0,780000.0,44460.0,,14000.0,,72.4246513720198
2616,Monroe,WV,-80.76918,37.43632,2046.0,Open,,130.0,,,,,36912.0,,,,
2617,Berkeley,WV,-77.98788,39.57302,2065.0,Open,67.0,35.8,,97.0,9176247.0,3290536.0,114985.0,,3472.6,,51.18677218767665
2618,Harrison,WV,-80.25694,39.33861,2091.0,Open,133.2,122.5,,200.0,29021293.0,8809835.0,452998.0,,24500.0,,44.61710206226076
2619,Mercer,WV,-81.12497,37.33199,2064.0,Open,,38.2,,90.0,3080385.0,2103196.0,30320.0,,3438.0000000000005,,32.229188654353564
2620,Nicholas,WV,-80.71,38.3385,2036.0,Open,,,,,,,25200.0,,,,
2621,Wood,WV,-81.49249,39.24923,2064.0,Open,,68.0,,200.0,17917952.0,8128087.0,200791.0,,13600.0,,48.756493069908515
2623,Pocahontas,WV,-79.9365,38.279,,Open,12.0,1.0,,30.0,,,9240.0,,30.0,,
2624,Raleigh,WV,-81.1631,37.8167,2087.0,Open,279.0,88.0,,,10528395.0,4166452.0,150981.0,,,,42.13737490147767
2626,Ohio,WV,-80.64112,40.14831,2053.0,Open,,78.4,,,17625462.0,7655976.0,298103.0,,,,33.443091817257795
2627,Putnam,WV,-82.025,38.3995,2066.0,Open,,32.4,,118.0,9552554.0,4570156.0,82335.0,,3823.2,,60.5137304912856
2628,Tucker,WV,-79.47,39.142,,Open,79.0,54.0,,,2680000.0,2076056.0,87140.0,,,,6.9307321551526275
2630,Wetzel,WV,-80.85639,39.60502,2045.0,Open,38.0,18.0,,70.0,3420000.0,1000000.0,60000.0,,1260.0,,40.333333333333336
2631,Campbell,WY,-105.49038,44.39256,2052.0,Open,,37.8,,,4617270.0,1132693.0,46141.0,,,,75.52018811902646
2632,Natrona,WY,-106.283097,42.873192,2072.0,Open,,112.5,,,7383092.0,4516778.0,118813.0,,,,24.124582326849755
2633,Laramie,WY,-105.005,41.135,2045.0,Open,,122.3,,,7827750.0,4271221.0,62997.0,,,,56.455529628395006
2634,Laramie,WY,-104.336488,41.230852,2146.0,Open,,,,,4313909.0,211813.0,9189.0,,,,446.4137555773207
2635,Sheridan,WY,-106.923406,44.804335,,Open,,8.9,,60.0,1160005.0,400637.0,38430.0,,534.0,,19.75977101223003
